Timestamp,Subject #:,The Seine Valley at Mézy by Berthe Morisot [Moved],The Seine Valley at Mézy by Berthe Morisot [Fascinated],The Seine Valley at Mézy by Berthe Morisot [Funny],The Seine Valley at Mézy by Berthe Morisot [Surprised],The Seine Valley at Mézy by Berthe Morisot [Indifferent],The Seine Valley at Mézy by Berthe Morisot [Calm],The Seine Valley at Mézy by Berthe Morisot [Unsettled],The Seine Valley at Mézy by Berthe Morisot [Beautiful],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Moved],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Fascinated],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Funny],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Surprised],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Indifferent],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Calm],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Unsettled],The Masked Ball at the Elysée Montmartre by Henri de Toulouse-Lautrec [Beautiful],Notre Dame by Maximilien Luce [Moved],Notre Dame by Maximilien Luce [Fascinated],Notre Dame by Maximilien Luce [Funny],Notre Dame by Maximilien Luce [Surprised],Notre Dame by Maximilien Luce [Indifferent],Notre Dame by Maximilien Luce [Calm],Notre Dame by Maximilien Luce [Unsettled],Notre Dame by Maximilien Luce [Beautiful],Tea at Madame Vuillard's by Èdouard Vuillard [Moved],Tea at Madame Vuillard's by Èdouard Vuillard [Fascinated],Tea at Madame Vuillard's by Èdouard Vuillard [Funny],Tea at Madame Vuillard's by Èdouard Vuillard [Surprised],Tea at Madame Vuillard's by Èdouard Vuillard [Indifferent],Tea at Madame Vuillard's by Èdouard Vuillard [Calm],Tea at Madame Vuillard's by Èdouard Vuillard [Unsettled],Tea at Madame Vuillard's by Èdouard Vuillard [Beautiful],The Corn-poppies by Georges Braque [Moved],The Corn-poppies by Georges Braque [Fascinated],The Corn-poppies by Georges Braque [Funny],The Corn-poppies by Georges Braque [Surprised],The Corn-poppies by Georges Braque [Indifferent],The Corn-poppies by Georges Braque [Calm],The Corn-poppies by Georges Braque [Unsettled],The Corn-poppies by Georges Braque [Beautiful]
2020/04/10 1:07:00 PM MDT,pilot01,4,4,2,4,4,4,1,3,4,4,2,4,3,5,1,4,5,5,3,5,3,4,1,4,4,4,4,3,4,5,1,3,4,3,4,2,4,6,1,3
2020/04/10 1:25:54 PM MDT,pilot02,1,2,1,2,5,5,1,3,1,2,2,1,5,5,1,2,2,3,1,1,4,4,1,3,1,2,1,2,5,5,1,2,1,2,2,1,5,5,1,2
