Timestamp,Subject #:,The White Flower by O'Keefe [Moved],The White Flower by O'Keefe [Fascinated],The White Flower by O'Keefe [Funny],The White Flower by O'Keefe [Surprised],The White Flower by O'Keefe [Indifferent],The White Flower by O'Keefe [Calm],The White Flower by O'Keefe [Unsettled],The White Flower by O'Keefe [Beautiful],Southern California Landscape by Braun [Moved],Southern California Landscape by Braun [Fascinated],Southern California Landscape by Braun [Funny],Southern California Landscape by Braun [Surprised],Southern California Landscape by Braun [Indifferent],Southern California Landscape by Braun [Calm],Southern California Landscape by Braun [Unsettled],Southern California Landscape by Braun [Beautiful],Afternoon Stroll by Chase [Moved],Afternoon Stroll by Chase [Fascinated],Afternoon Stroll by Chase [Funny],Afternoon Stroll by Chase [Surprised],Afternoon Stroll by Chase [Indifferent],Afternoon Stroll by Chase [Calm],Afternoon Stroll by Chase [Unsettled],Afternoon Stroll by Chase [Beautiful],San Felipe Valley by Reiffel [Moved],San Felipe Valley by Reiffel [Fascinated],San Felipe Valley by Reiffel [Funny],San Felipe Valley by Reiffel [Surprised],San Felipe Valley by Reiffel [Indifferent],San Felipe Valley by Reiffel [Calm],San Felipe Valley by Reiffel [Unsettled],San Felipe Valley by Reiffel [Beautiful],Rock ledge in Autumn by Braun [Moved],Rock ledge in Autumn by Braun [Fascinated],Rock ledge in Autumn by Braun [Funny],Rock ledge in Autumn by Braun [Surprised],Rock ledge in Autumn by Braun [Indifferent],Rock ledge in Autumn by Braun [Calm],Rock ledge in Autumn by Braun [Unsettled],Rock ledge in Autumn by Braun [Beautiful],Game of Croquet by Fries [Moved],Game of Croquet by Fries [Fascinated],Game of Croquet by Fries [Funny],Game of Croquet by Fries [Surprised],Game of Croquet by Fries [Indifferent],Game of Croquet by Fries [Calm],Game of Croquet by Fries [Unsettled],Game of Croquet by Fries [Beautiful],Eve of Saint John by Hurd [Moved],Eve of Saint John by Hurd [Fascinated],Eve of Saint John by Hurd [Funny],Eve of Saint John by Hurd [Surprised],Eve of Saint John by Hurd [Indifferent],Eve of Saint John by Hurd [Calm],Eve of Saint John by Hurd [Unsettled],Eve of Saint John by Hurd [Beautiful],Sierra Lake by Payne [Moved],Sierra Lake by Payne [Fascinated],Sierra Lake by Payne [Funny],Sierra Lake by Payne [Surprised],Sierra Lake by Payne [Indifferent],Sierra Lake by Payne [Calm],Sierra Lake by Payne [Unsettled],Sierra Lake by Payne [Beautiful],Torrey Pines by Fechin [Moved],Torrey Pines by Fechin [Fascinated],Torrey Pines by Fechin [Funny],Torrey Pines by Fechin [Surprised],Torrey Pines by Fechin [Indifferent],Torrey Pines by Fechin [Calm],Torrey Pines by Fechin [Unsettled],Torrey Pines by Fechin [Beautiful]
2020/04/08 2:08:53 PM MDT,pilot01 ,5,4,2,3,5,5,1,4,5,4,2,2,4,5,1,4,5,4,2,4,4,6,2,4,5,5,2,4,4,5,1,4,4,4,2,2,4,5,1,4,4,4,5,4,4,4,1,3,5,4,4,4,4,5,1,4,5,5,2,4,3,5,1,5,6,6,3,6,1,1,1,6
2020/04/08 2:13:06 PM MDT,pilot02 ,1,2,1,2,5,5,1,3,2,2,1,2,4,5,1,3,3,3,1,3,3,5,1,4,2,2,1,3,5,5,1,3,2,2,1,3,5,5,1,3,1,2,1,2,5,5,1,3,4,5,1,5,2,5,2,5,2,3,1,3,3,5,1,4,1,2,1,2,5,5,1,3
