ID,Moved,Fascinated,Funny,Surprised,Indifferent,Calm,Unsettled,Personal,Curious
1910,-0.070535,0.4546,-0.57728,-0.10674,-0.19139,0.88532,-0.50165,-0.16144,0.26912
1911,0.10681,0.43614,-0.65476,0.068383,-0.043955,0.72131,-0.80015,-0.10313,0.26934
1912,-0.21247,0.26056,-0.57653,-0.015183,0.63644,0.79693,-0.85797,-0.060462,0.028697
2001,0.43959,0.34273,-1.0379,-0.19127,-0.21674,1.0698,-0.80122,0.30367,0.091307
2002,-0.27286,-0.020718,-0.3194,-0.28967,1.3538,0.48418,-0.1738,-0.60797,-0.15352
2003,-0.15311,0.32009,-0.30478,-0.069709,0.28373,0.22446,0.057531,-0.25658,-0.10163
2004,0.49485,0.77764,-0.86265,-0.37128,-0.34924,0.85992,-0.91686,0.1554,0.21222
2005,-0.16416,0.34745,-0.80976,0.23451,-0.51337,0.18822,0.54643,-0.13028,0.30096
2006,0.015517,0.60193,-0.25504,0.18028,-0.4449,0.18392,-0.29309,-0.1444,0.15578
2007,0.070166,0.45303,-0.82618,0.0023245,0.45069,0.24403,-0.045623,-0.41173,0.063288
2008,0.51166,0.55796,-0.87991,-0.065701,-0.31282,0.78835,-0.76215,0.3158,-0.15319
2009,0.26303,0.58377,-0.83844,-0.044458,-0.27042,0.57806,-0.74694,0.20232,0.27308
2010,0.60618,0.93582,-1.2259,0.039458,-0.72194,0.70308,-0.59578,-0.024675,0.28373
2011,-0.15077,0.065437,-0.53936,-0.15476,0.72249,0.63182,-0.64667,-0.15971,0.23154
2012,0.071272,0.57065,-1.1992,0.14042,-0.13017,-0.056758,0.31293,-0.30383,0.5947
2013,0.52055,0.83277,-1.0394,0.12748,-0.63832,-0.44578,0.46374,-0.0068999,0.18587
2014,0.3006,0.9247,-1.148,-0.10955,-0.35982,0.62843,-0.39534,0.11518,0.043796
2015,0.39991,0.80205,-1.0557,0.05062,-0.29187,0.26904,-0.56142,-0.10539,0.4928
2016,0.48759,1.0842,-0.95249,0.18336,-0.88529,0.25267,-0.57333,-0.084946,0.48826
2017,-0.19029,0.23873,-0.49871,-0.22132,0.27236,0.40868,-0.33843,0.063558,0.26543
2018,0.47546,0.614,-1.266,-0.25322,-0.26605,0.81822,-0.42633,0.28771,0.016211
2019,0.035102,0.55874,-1.1569,-0.18856,0.2182,0.87681,-0.55039,0.059737,0.14723
3001,-0.1115,0.87701,-0.58895,-0.04276,-0.14875,0.43075,-0.42274,-0.088275,0.09522
3002,-0.33588,0.707,-0.54648,0.14382,0.0017076,0.47321,-0.40863,-0.20671,0.17196
3003,0.24162,0.82165,-0.86367,0.37537,-0.64553,-0.30473,0.10084,-0.11276,0.3872
3004,0.089252,0.5757,-0.8784,-0.15966,-0.33278,0.59858,-0.32561,-0.024014,0.45692
3005,0.29176,0.64403,-1.1876,0.24085,-0.97828,-0.18756,0.30423,0.2356,0.637
3006,-0.34032,0.51567,-0.54427,-0.14035,0.3365,0.23307,-0.013615,-0.29876,0.25207
3007,-0.18387,0.53769,-0.47341,-0.16945,0.34593,0.91371,-0.78461,-0.13565,-0.050349
3008,-0.045473,0.70186,-0.94684,0.26852,-0.12662,0.20904,-0.42829,0.039505,0.32829
3009,-0.42673,0.6099,-0.15209,0.44473,-0.25398,-0.22158,0.37744,-0.64356,0.26587
3010,0.20358,0.55027,-0.68345,-0.0093759,0.046636,0.51159,-0.50845,-0.036077,-0.074723
10001,0.41488,0.65154,-0.66925,-0.12718,-0.60783,0.83775,-0.83373,0.31984,0.013989
10002,0.1617,0.41597,-1.0215,-0.13349,-0.44775,0.88273,-0.66856,0.76229,0.048589
10003,0.56952,0.62322,-0.62202,-0.3607,-0.5529,0.8579,-0.70588,-0.038624,0.22948
10004,0.24194,0.6613,-0.92295,0.4734,-0.35923,0.25311,-0.40715,-0.084957,0.14452
10005,0.29431,0.73409,-0.95253,-0.024114,-0.88252,0.55634,-0.53535,0.16158,0.64821
