Timestamp,Subject #:,By the Seashore by Sorolla y Bastida [Moved],By the Seashore by Sorolla y Bastida [Fascinated],By the Seashore by Sorolla y Bastida [Funny],By the Seashore by Sorolla y Bastida [Surprised],By the Seashore by Sorolla y Bastida [Indifferent],By the Seashore by Sorolla y Bastida [Calm],By the Seashore by Sorolla y Bastida [Unsettled],By the Seashore by Sorolla y Bastida [Beautiful],Maria at La Granja by Sorolla y Bastida [Moved],Maria at La Granja by Sorolla y Bastida [Fascinated],Maria at La Granja by Sorolla y Bastida [Funny],Maria at La Granja by Sorolla y Bastida [Surprised],Maria at La Granja by Sorolla y Bastida [Indifferent],Maria at La Granja by Sorolla y Bastida [Calm],Maria at La Granja by Sorolla y Bastida [Unsettled],Maria at La Granja by Sorolla y Bastida [Beautiful],Seine in Parin by Dufy [Moved],Seine in Parin by Dufy [Fascinated],Seine in Parin by Dufy [Funny],Seine in Parin by Dufy [Surprised],Seine in Parin by Dufy [Indifferent],Seine in Parin by Dufy [Calm],Seine in Parin by Dufy [Unsettled],Seine in Parin by Dufy [Beautiful],"The Molo from the Basin of San Marco, Venice by Bellotto [Moved]","The Molo from the Basin of San Marco, Venice by Bellotto [Fascinated]","The Molo from the Basin of San Marco, Venice by Bellotto [Funny]","The Molo from the Basin of San Marco, Venice by Bellotto [Surprised]","The Molo from the Basin of San Marco, Venice by Bellotto [Indifferent]","The Molo from the Basin of San Marco, Venice by Bellotto [Calm]","The Molo from the Basin of San Marco, Venice by Bellotto [Unsettled]","The Molo from the Basin of San Marco, Venice by Bellotto [Beautiful]"
2020/04/10 1:30:58 PM MDT,pilot01,5,5,5,3,4,4,1,4,5,5,2,5,3,3,1,5,6,6,4,5,2,3,1,6,4,4,2,3,4,6,1,4
2020/04/10 1:32:14 PM MDT,pilot02,4,4,1,3,2,5,1,4,2,3,1,4,3,5,1,4,5,6,1,4,2,5,1,6,2,2,1,2,5,5,1,3
